Partija,Veids,Vērtība,Deputāts,Frakcija,Datums
Attīstībai/Par!,Manta vai pakalpojums, €  40.00 ,"Ikstena, Inese",Attīstībai/Par!,26/3/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Kazinovskis, Andris",Pie frakcijām nepiederošie deputāti,26/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  6.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,26/3/2019
Jaunā konservatīvā partija,Nauda, €  110.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,26/3/2019
Jaunā konservatīvā partija,Nauda, €  250.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,25/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Jansons, Ritvars",Nacionāla Apvienība VL-TB/LNNK,25/3/2019
Kustība Par!,Biedra nauda, €  50.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,25/3/2019
Attīstībai/Par!,Manta vai pakalpojums, €  40.00 ,"Ikstena, Inese",Attīstībai/Par!,23/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  8.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,22/3/2019
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Medne, Linda",Jauno Konservatīvo frakcija,20/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,19/3/2019
Jaunā konservatīvā partija,Nauda," €  1,100.00 ","Feldmans, Krišjānis",Jauno Konservatīvo frakcija,18/3/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Orlovs, Vitālijs",Saskaņa,18/3/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  2,000.00 ","Dolgopolovs, Sergejs",Saskaņa,17/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  100.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,16/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,15/3/2019
Kustība Par!,Nauda, €  20.00 ,"Voika, Inese",Attīstībai/Par!,15/3/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  3,000.00 ","Dolgopolovs, Sergejs",Saskaņa,14/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  150.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,11/3/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Znotiņš, Reinis",Jauno Konservatīvo frakcija,11/3/2019
Jaunā konservatīvā partija,Biedra nauda, €  200.00 ,"Žunna, Normunds",Jauno Konservatīvo frakcija,11/3/2019
Jaunā konservatīvā partija,Biedra nauda, €  320.00 ,"Beitnere-Le Galla, Dagmāra",Jauno Konservatīvo frakcija,10/3/2019
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,10/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  35.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,8/3/2019
