Partija,Veids,Vērtība,Deputāts,Frakcija,Datums
"KPV LV, Politiskā partija",Nauda, €  20.00 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,9/12/2018
Jaunā konservatīvā partija,Nauda, €  130.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,8/12/2018
Jaunā konservatīvā partija,Nauda, €  120.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,7/12/2018
Latvijas attīstībai,Biedra nauda, €  50.00 ,"Pūce, Juris",Attīstībai/Par!,7/12/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  700.00 ,"Ribakovs, Ivans",Saskaņa,6/12/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,6/12/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,5/12/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Jansons, Ritvars",Nacionāla Apvienība VL-TB/LNNK,29/11/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,27/11/2018
Jaunā konservatīvā partija,Nauda, €  170.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,26/11/2018
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,26/11/2018
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Žunna, Normunds",Jauno Konservatīvo frakcija,25/11/2018
Attīstībai/Par!,Nauda, €  5.00 ,"Voika, Inese",Attīstībai/Par!,24/11/2018
Kustība Par!,Nauda, €  10.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,23/11/2018
